keywords,segments,visit count
"['باران', 'پروفایل']","['khanevadehvakhanedari', 'salamat', 'moosighi', 'technology']",127
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],822
"['معنی فارسی', 'معنی', 'فارسی', 'فارسی معنی']",['femaleSegment'],726
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],307
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],778
"['ترکی', 'اهنگ']",['femaleSegment'],96
"['پریود', 'ویدئو', 'تاثیر']",['femaleSegment'],153
"['قرص', 'عوارض', 'مصرف']",['femaleSegment'],930
"['دوستان', 'پیام']","['khanevadehvakhanedari', 'salamat', 'moosighi', 'technology']",745
['عاشق'],['femaleSegment'],958
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",418
"['ریزش', 'تزریق', 'مو']",['femaleSegment'],159
"['هنرمند', 'ببر', 'مرا']",['maleSegment'],120
"['لیگ برتر', 'برتر', 'لیگ']","['sarmayegozari', 'maleSegment']",740
"['اورجینال', 'علی', 'آهنگ']",['femaleSegment'],806
"['شام', 'لیست', 'متنوع', 'غذاهای']",['femaleSegment'],243
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],324
"['سود', 'محاسبه', 'بانکی', 'آنلاین', 'بلند']",['maleSegment'],810
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],436
['نوت'],['maleSegment'],138
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],479
"['پریود', 'ویدئو', 'تاثیر']",['femaleSegment'],525
"['انگلیسی', 'کوتاه', 'متن']",['femaleSegment'],404
"['رمان', 'انجمن']",['femaleSegment'],809
['رنگ'],['femaleSegment'],900
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],607
"['متن کیفیت', 'دانلود آهنگ', 'آپ', 'فراهم', 'آهنگ']",['technology'],848
"['شیک', 'اسم', 'زیبا']",['femaleSegment'],133
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],122
['خواننده'],['femaleSegment'],210
"['صفحه اخبار', 'صفحه', 'اخبار']","['sarmayegozari', 'maleSegment', 'varzeshi']",209
"['احمد', 'دانلود', 'دانلود آهنگ']","['femaleSegment', 'salamat']",898
"['کارخانه', 'شهر']",['maleSegment'],558
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],549
['ترکی'],['femaleSegment'],906
['رنگ'],['femaleSegment'],448
"['قصه', 'صوتی', 'ویدئو']",['femaleSegment'],333
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],301
"['زنانه', 'سیاست']",['femaleSegment'],184
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],584
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],826
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],323
"['لیگ برتر', 'برتر', 'لیگ']",['maleSegment'],21
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],72
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],70
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],30
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],546
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],235
"['لوازم', 'قیمت']",['femaleSegment'],413
"['اچ', 'مدیا', 'آهنگ']",['femaleSegment'],864
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],726
"['قوی', 'عکس نوشته', 'نوشته']",['femaleSegment'],523
"['جواب', 'جدول']","['salamat', 'laghari']",138
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],281
"['باغ', 'تازه', 'دلم']",['maleSegment'],774
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],403
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],934
"['جواب', 'جدول']","['salamat', 'laghari']",798
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],126
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],287
"['بخیر', 'صبح', 'مذهبی']",['maleSegment'],443
"['شیک', 'العاده']",['femaleSegment'],524
"['هوای تهران', 'هوای', 'بینی', 'آب', 'وضعیت']",['sarmayegozari'],23
"['شهادت', 'حضرت', 'شب']",['zibaievamode'],819
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],818
['شیائومی'],['maleSegment'],744
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],133
"['رضایی', 'متن کیفیت', 'دانلود آهنگ', 'آهنگ']",['femaleSegment'],263
"['جهان', 'مشهور']","['sarmayegozari', 'femaleSegment']",830
"['لیگ برتر', 'برتر', 'لیگ']",['femaleSegment'],515
"['غمگین', 'آهنگ غمگین', 'آهنگ', 'پاپ', 'احساسی']",['femaleSegment'],877
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],42
"['کوتاه', 'هزاران', 'کوتاه ایران', 'وضعیت']",['femaleSegment'],473
"['حافظ', 'قرآن', 'آنلاین', 'ایران']",['sarmayegozari'],334
"['قهوه', 'فروشگاه اینترنتی', 'رفع', 'دستگاه', 'فروشگاه', 'اینترنتی']",['maleSegment'],919
"['متن کیفیت', 'دانلود آهنگ', 'آپ', 'فراهم', 'آهنگ']",['technology'],493
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],599
"['دانلود اهنگ', 'اهنگ', 'تهران']",['femaleSegment'],536
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],766
"['شیک', 'العاده']",['femaleSegment'],308
"['فیلم', 'اتفاقات']",['femaleSegment'],407
"['ریمیکس', 'اهنگ', 'آهنگ']","['salamat', 'laghari']",481
['فال'],['femaleSegment'],689
['ویدئو'],['femaleSegment'],0
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],219
"['نتایج زنده', 'فوتبال', 'نتایج', 'زنده']",['maleSegment'],213
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],634
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],751
"['هنرمند', 'ببر', 'مرا']",['maleSegment'],204
['شیائومی'],['maleSegment'],828
"['دانلود آهنگ', 'بایگانی دانلود', 'آهنگ', 'بایگانی', 'دانلود', 'عاشقانه']","['zibaievamode', 'femaleSegment', 'salamat', 'laghari']",554
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],689
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],390
"['مبارک', 'باشه']",['maleSegment'],202
"['فرنگی', 'خوشمزه', 'مخصوص', 'طرز']",['femaleSegment'],249
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],808
"['جهان', 'لحظه']","['mazhabi', 'maleSegment']",879
['پسر'],['femaleSegment'],131
"['چای', 'سبز', 'خواص']",['femaleSegment'],606
"['موزیک ویدیو', 'دانلود موزیک', 'صدا', 'تاپ']","['femaleSegment', 'khanevadehvakhanedari']",930
"['نتایج زنده', 'نتایج', 'زنده']","['maleSegment', 'varzeshi']",214
"['ناب', 'مسیح', 'آرش', 'نداریم', 'چشم']",['mohajerat'],14
"['امید', 'جهان', 'آهنگ']",['femaleSegment'],937
"['آبادیس', 'آبادیس معنی', 'آبادیس آبادیس', 'آنلاین آبادیس', 'دیکشنری آنلاین']",['femaleSegment'],372
"['صفحه اخبار', 'صفحه', 'اخبار']",['sarmayegozari'],118
"['وحشتناک', 'اهنگ']",['femaleSegment'],256
"['لوازم', 'قیمت']",['femaleSegment'],925
"['سنجش', 'ارشد']",['femaleSegment'],168
"['صفحه اخبار', 'صفحه', 'اخبار']",['maleSegment'],911
"['آبادیس', 'رفتن', 'معنی']",['femaleSegment'],350
"['شیرینی', 'خوشمزه']",['maleSegment'],624
"['نوت', 'شیائومی']",['maleSegment'],819
"['تصاویر', 'عکس']",['femaleSegment'],48
"['نان', 'قیمت', 'افزایش قیمت']","['maleSegment', 'varzeshi']",515
"['تالاب', 'زناشویی']",['maleSegment'],863
['نوت'],['maleSegment'],142
"['مرحله', 'جواب', 'پاسخ', 'بازی']",['femaleSegment'],835
"['گناه', 'بهرام', 'رضا', 'عشق', 'آهنگ رضا']",['femaleSegment'],567
"['رمان', 'خط']",['femaleSegment'],470
"['نتایج زنده', 'نتایج', 'زنده']",['maleSegment'],126
